title,date,link,signal
幣安合約將下架REEFUSDT U本位永續合約並調整槓桿和保證金階梯（2025-01-22）,2025-01-15,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E5%90%88%E7%B4%84%E5%B0%87%E4%B8%8B%E6%9E%B6reefusdt-u%E6%9C%AC%E4%BD%8D%E6%B0%B8%E7%BA%8C%E5%90%88%E7%B4%84%E4%B8%A6%E8%AA%BF%E6%95%B4%E6%A7%93%E6%A1%BF%E5%92%8C%E4%BF%9D%E8%AD%89%E9%87%91%E9%9A%8E%E6%A2%AF-2025-01-22-572715f2d96e47769ebbb967c2a6e445,True
幣安移除部分現貨交易對的公告 - 2025-01-17,2025-01-15,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E7%8F%BE%E8%B2%A8%E4%BA%A4%E6%98%93%E5%B0%8D%E7%9A%84%E5%85%AC%E5%91%8A-2025-01-17-85c046a0853b43c2b791ffc3343ed7f0,False
幣安質押借幣（活期利率）移除部分可借資產的公告 - 2025-01-15,2025-01-14,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E8%B3%AA%E6%8A%BC%E5%80%9F%E5%B9%A3-%E6%B4%BB%E6%9C%9F%E5%88%A9%E7%8E%87-%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E5%8F%AF%E5%80%9F%E8%B3%87%E7%94%A2%E7%9A%84%E5%85%AC%E5%91%8A-2025-01-15-0121f22d485c43da89f2686c5c703886,False
幣安移除部分現貨交易對的公告 - 2025-01-10,2025-01-08,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E7%8F%BE%E8%B2%A8%E4%BA%A4%E6%98%93%E5%B0%8D%E7%9A%84%E5%85%AC%E5%91%8A-2025-01-10-5283cba1003240e8829afa803ce7815c,False
幣安槓桿移除部分交易對的公告 - 2025-01-16,2025-01-08,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E6%A7%93%E6%A1%BF%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E4%BA%A4%E6%98%93%E5%B0%8D%E7%9A%84%E5%85%AC%E5%91%8A-2025-01-16-9a044a0ff8bd4134ba202b9e8e506d58,False
幣安質押借幣（活期利率）移除部分可借資產的公告 - 2025-01-03,2025-01-03,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E8%B3%AA%E6%8A%BC%E5%80%9F%E5%B9%A3-%E6%B4%BB%E6%9C%9F%E5%88%A9%E7%8E%87-%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E5%8F%AF%E5%80%9F%E8%B3%87%E7%94%A2%E7%9A%84%E5%85%AC%E5%91%8A-2025-01-03-5b215fbc6a0a46afaf0d7e331d2583fa,False
幣安移除部分現貨交易對的公告 - 2024-12-27,2024-12-24,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E7%8F%BE%E8%B2%A8%E4%BA%A4%E6%98%93%E5%B0%8D%E7%9A%84%E5%85%AC%E5%91%8A-2024-12-27-f1b4fd16b90947aeaa25721940c4b594,False
幣安合約將再次推遲下架OMGUSDT U本位永續合約,2024-12-20,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E5%90%88%E7%B4%84%E5%B0%87%E5%86%8D%E6%AC%A1%E6%8E%A8%E9%81%B2%E4%B8%8B%E6%9E%B6omgusdt-u%E6%9C%AC%E4%BD%8D%E6%B0%B8%E7%BA%8C%E5%90%88%E7%B4%84-1e43c128806544018d3cc537a8add3f6,False
幣安將下架 AKRO、BLZ、WRX（2024-12-25）,2024-12-18,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E5%B0%87%E4%B8%8B%E6%9E%B6-akro-blz-wrx-2024-12-25-b140faee7cf9482cb10257308abda245,True
幣安移除部分現貨交易對的公告 - 2024-12-20,2024-12-18,https://www.binance.com/zh-TC/support/announcement/%E5%B9%A3%E5%AE%89%E7%A7%BB%E9%99%A4%E9%83%A8%E5%88%86%E7%8F%BE%E8%B2%A8%E4%BA%A4%E6%98%93%E5%B0%8D%E7%9A%84%E5%85%AC%E5%91%8A-2024-12-20-6d4532716f864947ba21791fd974cad5,False
