資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20240419,000218,1,0,0,0.00
20240419,000218,2,0,0,0.00
20240419,000218,3,0,0,0.00
20240419,000218,4,0,0,0.00
20240419,000218,5,0,0,0.00
20240419,000218,6,0,0,0.00
20240419,000218,7,0,0,0.00
20240419,000218,8,0,0,0.00
20240419,000218,9,0,0,0.00
20240419,000218,10,0,0,0.00
20240419,000218,11,0,0,0.00
20240419,000218,12,0,0,0.00
20240419,000218,13,0,0,0.00
20240419,000218,14,0,0,0.00
20240419,000218,15,1,422278902,100.00
20240419,000218,16,0,0,0.00
20240419,000218,17,1,422278902,100.00
20240419,000779,1,0,0,0.00
20240419,000779,2,0,0,0.00
20240419,000779,3,0,0,0.00
20240419,000779,4,0,0,0.00
20240419,000779,5,0,0,0.00
20240419,000779,6,0,0,0.00
20240419,000779,7,0,0,0.00
20240419,000779,8,0,0,0.00
20240419,000779,9,0,0,0.00
20240419,000779,10,0,0,0.00
20240419,000779,11,0,0,0.00
20240419,000779,12,0,0,0.00
20240419,000779,13,0,0,0.00
20240419,000779,14,0,0,0.00
20240419,000779,15,1,1150000000,100.00
20240419,000779,16,0,0,0.00
20240419,000779,17,1,1150000000,100.00
20240419,000815,1,0,0,0.00
20240419,000815,2,0,0,0.00
20240419,000815,3,0,0,0.00
20240419,000815,4,0,0,0.00
20240419,000815,5,0,0,0.00
20240419,000815,6,0,0,0.00
20240419,000815,7,0,0,0.00
20240419,000815,8,0,0,0.00
20240419,000815,9,0,0,0.00
20240419,000815,10,0,0,0.00
20240419,000815,11,0,0,0.00
20240419,000815,12,0,0,0.00
20240419,000815,13,0,0,0.00
20240419,000815,14,0,0,0.00
20240419,000815,15,1,692412444,100.00
20240419,000815,16,0,0,0.00
20240419,000815,17,1,692412444,100.00
20240419,0050,1,378431,102819181,5.40
20240419,0050,2,226815,454865766,23.89
20240419,0050,3,28044,203808608,10.70
20240419,0050,4,7866,97773810,5.13
20240419,0050,5,3697,65566922,3.44
20240419,0050,6,3015,74727618,3.92
20240419,0050,7,1346,47103476,2.47
20240419,0050,8,619,28264470,1.48
20240419,0050,9,975,66566934,3.49
20240419,0050,10,302,40222415,2.11
20240419,0050,11,95,26229058,1.37
20240419,0050,12,26,12985730,0.68
20240419,0050,13,8,5646384,0.29
20240419,0050,14,15,13871619,0.72
20240419,0050,15,73,663548009,34.85
20240419,0050,16,0,0,0.00
20240419,0050,17,651327,1904000000,100.00
20240419,0051,1,3901,929267,4.76
20240419,0051,2,3616,6861449,35.18
20240419,0051,3,352,2671690,13.70
20240419,0051,4,108,1367691,7.01
20240419,0051,5,57,1043539,5.35
20240419,0051,6,28,707543,3.62
20240419,0051,7,16,561756,2.88
20240419,0051,8,6,262401,1.34
20240419,0051,9,14,931636,4.77
20240419,0051,10,4,483000,2.47
20240419,0051,11,0,0,0.00
20240419,0051,12,3,1442700,7.39
20240419,0051,13,3,2237328,11.47
20240419,0051,14,0,0,0.00
20240419,0051,15,0,0,0.00
20240419,0051,16,0,0,0.00
20240419,0051,17,8108,19500000,100.00
